index,token,order,concept_token,token_classifier,idphrase,concept,id_trial,cuid,umlstokens,concept_phrase_type,lang_token,weightuser
,Advanced/Metastatic Gastroesophageal Adenocarcinoma,0,DISEASE,jnlpba,"Phase 3, Randomized Study to Evaluate the Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) Plus Chemotherapy Compared With Standard of Care Therapy as First-line Intervention in Participants With Advanced/Metastatic Gastroesophageal Adenocarcinoma (LEAP-015)",indications,NCT04662710,C5204519,Advanced Gastroesophageal Junction Adenocarcinoma,FDA,en,0
,Lenvatinib,0,SIMPLE_CHEMICAL,bionlp,"Phase 3, Randomized Study to Evaluate the Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) Plus Chemotherapy Compared With Standard of Care Therapy as First-line Intervention in Participants With Advanced/Metastatic Gastroesophageal Adenocarcinoma (LEAP-015)",indications,NCT04662710,C2986924,lenvatinib,FDA,en,0
,MK-3475,0,SIMPLE_CHEMICAL,bionlp,"Phase 3, Randomized Study to Evaluate the Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) Plus Chemotherapy Compared With Standard of Care Therapy as First-line Intervention in Participants With Advanced/Metastatic Gastroesophageal Adenocarcinoma (LEAP-015)",indications,NCT04662710,C3660977,MK-3475,FDA,en,0
,MK-1026,0,GGP,craft,A Phase 2 Study to Evaluate the Efficacy and Safety of MK-1026 in Participants With Hematologic Malignancies,pediatric_use,NCT04728893,C5557456,MK-1026,FDA,en,0
,Adenocarcinoma,0,CANCER,bionlp,"Phase 3, Randomized Study to Evaluate the Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) Plus Chemotherapy Compared With Standard of Care Therapy as First-line Intervention in Participants With Advanced/Metastatic Gastroesophageal Adenocarcinoma (LEAP-015)",indications,NCT04662710,C0001418,Adenocarcinoma,FDA,en,0
,CZP,0,CHEBI,craft,"Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled (12-17 Years) Including a Single Open-Label Arm (6-11 Years) Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Certolizumab Pegol (CZP) in Pediatric Study Participants With Moderate to Severe Chronic Plaque Psoriasis (PSO)",pediatric_use,NCT04123795,C1861828,"Cataract, Zonular Pulverulent 1",FDA,en,0
,Single Open-Label Arm,0,PROTEIN,jnlpba,"Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled (12-17 Years) Including a Single Open-Label Arm (6-11 Years) Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Certolizumab Pegol (CZP) in Pediatric Study Participants With Moderate to Severe Chronic Plaque Psoriasis (PSO)",pediatric_use,NCT04123795,,,FDA,en,0
,Certolizumab,0,CHEMICAL,jnlpba,"Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled (12-17 Years) Including a Single Open-Label Arm (6-11 Years) Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Certolizumab Pegol (CZP) in Pediatric Study Participants With Moderate to Severe Chronic Plaque Psoriasis (PSO)",pediatric_use,NCT04123795,C1872109,certolizumab pegol,FDA,en,0
,CZP,0,CHEMICAL,jnlpba,"Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled (12-17 Years) Including a Single Open-Label Arm (6-11 Years) Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Certolizumab Pegol (CZP) in Pediatric Study Participants With Moderate to Severe Chronic Plaque Psoriasis (PSO)",pediatric_use,NCT04123795,C1861828,"Cataract, Zonular Pulverulent 1",FDA,en,0
,Psoriasis,0,DISEASE,jnlpba,"Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled (12-17 Years) Including a Single Open-Label Arm (6-11 Years) Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Certolizumab Pegol (CZP) in Pediatric Study Participants With Moderate to Severe Chronic Plaque Psoriasis (PSO)",pediatric_use,NCT04123795,C0033860,Psoriasis,FDA,en,0
,Certolizumab,0,SIMPLE_CHEMICAL,bionlp,"Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled (12-17 Years) Including a Single Open-Label Arm (6-11 Years) Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Certolizumab Pegol (CZP) in Pediatric Study Participants With Moderate to Severe Chronic Plaque Psoriasis (PSO)",pediatric_use,NCT04123795,C1872109,certolizumab pegol,FDA,en,0
,CZP,0,SIMPLE_CHEMICAL,bionlp,"Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled (12-17 Years) Including a Single Open-Label Arm (6-11 Years) Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Certolizumab Pegol (CZP) in Pediatric Study Participants With Moderate to Severe Chronic Plaque Psoriasis (PSO)",pediatric_use,NCT04123795,C1861828,"Cataract, Zonular Pulverulent 1",FDA,en,0
,ALS,0,DISEASE,jnlpba,Digital Smartwatch Measurements as Potential Biomarkers for Remote Disease Tracking in ALS (CAPTURE ALS Smarwatch),warnings,NCT05830214,C0002736,Amyotrophic Lateral Sclerosis,FDA,en,0
,Smartwatch,0,GENE_OR_GENE_PRODUCT,bionlp,Digital Smartwatch Measurements as Potential Biomarkers for Remote Disease Tracking in ALS (CAPTURE ALS Smarwatch),warnings,NCT05830214,C5561872,Smartwatches,FDA,en,0
,HBsAg Monoclonal Ab,0,PROTEIN,jnlpba,Phase II Investigator-Initiated Study to Understand the Vaccinal Effect of HBsAg Monoclonal Ab VIR-3434 in Chronic Hepatitis B Infection,warnings,NCT06216470,C0019168,Hepatitis B Surface Antigens,FDA,en,0
,HBsAg,0,CHEMICAL,jnlpba,Phase II Investigator-Initiated Study to Understand the Vaccinal Effect of HBsAg Monoclonal Ab VIR-3434 in Chronic Hepatitis B Infection,warnings,NCT06216470,C0019168,Hepatitis B Surface Antigens,FDA,en,0
,Hepatitis B,0,DISEASE,jnlpba,Phase II Investigator-Initiated Study to Understand the Vaccinal Effect of HBsAg Monoclonal Ab VIR-3434 in Chronic Hepatitis B Infection,warnings,NCT06216470,C0019163,Hepatitis B,FDA,en,0
,HBsAg Monoclonal Ab VIR-3434,0,ORGANISM,bionlp,Phase II Investigator-Initiated Study to Understand the Vaccinal Effect of HBsAg Monoclonal Ab VIR-3434 in Chronic Hepatitis B Infection,warnings,NCT06216470,C0019168,Hepatitis B Surface Antigens,FDA,en,0
,Hepatitis B,0,ORGANISM,bionlp,Phase II Investigator-Initiated Study to Understand the Vaccinal Effect of HBsAg Monoclonal Ab VIR-3434 in Chronic Hepatitis B Infection,warnings,NCT06216470,C0019163,Hepatitis B,FDA,en,0
,Lateral Sclerosis,0,DISEASE,jnlpba,Magnetic Resonance Imaging Biomarkers in Amyotrophic Lateral Sclerosis,adverse_reactions,NCT02405182,C0154682,Lateral Sclerosis,FDA,en,0
,Lateral,0,TISSUE,bionlp,Magnetic Resonance Imaging Biomarkers in Amyotrophic Lateral Sclerosis,adverse_reactions,NCT02405182,C0205093,Lateral,FDA,en,0
,FLT3 Mutations,0,GGP,craft,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C0251006,"FLT3 protein, human",FDA,en,0
,FLT3,0,PROTEIN,jnlpba,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C0251006,"FLT3 protein, human",FDA,en,0
,AML,0,CHEMICAL,jnlpba,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C0023467,"Leukemia, Myelocytic, Acute",FDA,en,0
,Gemtuzumab Ozogamicin,0,CHEMICAL,jnlpba,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C1533699,gemtuzumab ozogamicin,FDA,en,0
,CPX-351,0,CHEMICAL,jnlpba,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C2346682,CPX-351,FDA,en,0
,UCN-01,0,CHEMICAL,jnlpba,A Phase I Study of UCN-01 in Combination With Topotecan in Patients With Solid Tumors,pediatric_use,NCT00045175,C0950721,UCN 01,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C0030705,Patients,FDA,en,0
,AML,0,CANCER,bionlp,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C0023467,"Leukemia, Myelocytic, Acute",FDA,en,0
,Gemtuzumab Ozogamicin,0,SIMPLE_CHEMICAL,bionlp,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C1533699,gemtuzumab ozogamicin,FDA,en,0
,CPX-351,0,SIMPLE_CHEMICAL,bionlp,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C2346682,CPX-351,FDA,en,0
,FLT3,0,GENE_OR_GENE_PRODUCT,bionlp,"A Phase 3 Randomized Trial for Patients With De Novo AML Comparing Standard Therapy Including Gemtuzumab Ozogamicin (GO) to CPX-351 With GO, and the Addition of the FLT3 Inhibitor Gilteritinib for Patients With FLT3 Mutations",warnings,NCT04293562,C0251006,"FLT3 protein, human",FDA,en,0
,68Ga-DOTATOC PET/CT,0,PROTEIN,jnlpba,Evaluation of the Safety and Sensitivity of 68Ga-DOTATOC PET/CT for Imaging NET Patients,warnings,NCT03583528,C1742831,dotatate gallium ga-68,FDA,en,0
,NET,0,CHEMICAL,jnlpba,Evaluation of the Safety and Sensitivity of 68Ga-DOTATOC PET/CT for Imaging NET Patients,warnings,NCT03583528,C0812375,ELK3 gene,FDA,en,0
,NET Patients,0,CANCER,bionlp,Evaluation of the Safety and Sensitivity of 68Ga-DOTATOC PET/CT for Imaging NET Patients,warnings,NCT03583528,C0812375,ELK3 gene,FDA,en,0
,Cyproheptadine Hydrochloride,0,CL,craft,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0010620,cyproheptadine,FDA,en,0
,Periactin,0,GGP,craft,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0031017,periactin,FDA,en,0
,Acetate,0,CHEBI,craft,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0000975,acetate,FDA,en,0
,Cyproheptadine Hydrochloride,0,CHEMICAL,jnlpba,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0010620,cyproheptadine,FDA,en,0
,Periactin,0,CHEMICAL,jnlpba,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0031017,periactin,FDA,en,0
,Megestrol Acetate,0,CHEMICAL,jnlpba,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0065879,megestrol acetate,FDA,en,0
,Megace,0,CHEMICAL,jnlpba,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0700004,Megace,FDA,en,0
,Cachexia,0,DISEASE,jnlpba,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0006625,Cachexia,FDA,en,0
,Cyproheptadine Hydrochloride,0,SIMPLE_CHEMICAL,bionlp,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0010620,cyproheptadine,FDA,en,0
,Periactin,0,SIMPLE_CHEMICAL,bionlp,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0031017,periactin,FDA,en,0
,Megestrol Acetate,0,SIMPLE_CHEMICAL,bionlp,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0065879,megestrol acetate,FDA,en,0
,Megace,0,SIMPLE_CHEMICAL,bionlp,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0700004,Megace,FDA,en,0
,Children,0,ORGANISM,bionlp,The Effect of Cyproheptadine Hydrochloride (Periactin) and Megestrol Acetate (Megace) on Weight in Children With Cancer/Treatment Related Cachexia,pediatric_use,NCT00066248,C0008059,Child,FDA,en,0
,ISIS,0,GGP,craft,"A Phase 2a, Randomized, Open-Label Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 702843 Administered to Patients With Phlebotomy Dependent Polycythemia Vera (PD-PV)",pediatric_use,NCT05143957,C3383522,Isis,FDA,en,0
,ISIS 702843,0,CHEMICAL,jnlpba,"A Phase 2a, Randomized, Open-Label Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 702843 Administered to Patients With Phlebotomy Dependent Polycythemia Vera (PD-PV)",pediatric_use,NCT05143957,C3383522,Isis,FDA,en,0
,Administered,0,DISEASE,jnlpba,"A Phase 2a, Randomized, Open-Label Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 702843 Administered to Patients With Phlebotomy Dependent Polycythemia Vera (PD-PV)",pediatric_use,NCT05143957,C1521801,Having administered,FDA,en,0
,Polycythemia,0,DISEASE,jnlpba,"A Phase 2a, Randomized, Open-Label Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 702843 Administered to Patients With Phlebotomy Dependent Polycythemia Vera (PD-PV)",pediatric_use,NCT05143957,C0032461,Polycythemia,FDA,en,0
,Obesity,0,DISEASE,jnlpba,"Efficacy, Safety, and Pharmacokinetics of Tirzepatide Once Weekly Versus Placebo in Adolescent Participants Who Have Obesity, or Are Overweight With Weight-Related Comorbidities:",pediatric_use,NCT06075667,C0028754,Obesity,FDA,en,0
,ISIS,0,SIMPLE_CHEMICAL,bionlp,"A Phase 2a, Randomized, Open-Label Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 702843 Administered to Patients With Phlebotomy Dependent Polycythemia Vera (PD-PV)",pediatric_use,NCT05143957,C3383522,Isis,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Phase 2a, Randomized, Open-Label Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 702843 Administered to Patients With Phlebotomy Dependent Polycythemia Vera (PD-PV)",pediatric_use,NCT05143957,C0030705,Patients,FDA,en,0
,Mutation,0,SO,craft,A Phase 1 Study of INCB099280 in Combination With Adagrasib in Adults With Advanced Solid Tumors Harboring a KRASG12C Mutation,pediatric_use,NCT06039384,C0026882,Mutation,FDA,en,0
,INCB099280,0,DNA,jnlpba,A Phase 1 Study of INCB099280 in Combination With Adagrasib in Adults With Advanced Solid Tumors Harboring a KRASG12C Mutation,pediatric_use,NCT06039384,,,FDA,en,0
,KRASG12C,0,CELL_LINE,jnlpba,A Phase 1 Study of INCB099280 in Combination With Adagrasib in Adults With Advanced Solid Tumors Harboring a KRASG12C Mutation,pediatric_use,NCT06039384,C3274012,KRAS NP_004976.2:p.G12C,FDA,en,0
,Tumors,0,DISEASE,jnlpba,A Phase 1 Study of INCB099280 in Combination With Adagrasib in Adults With Advanced Solid Tumors Harboring a KRASG12C Mutation,pediatric_use,NCT06039384,C0027651,Neoplasms,FDA,en,0
,Solid Tumors,0,CANCER,bionlp,A Phase 1 Study of INCB099280 in Combination With Adagrasib in Adults With Advanced Solid Tumors Harboring a KRASG12C Mutation,pediatric_use,NCT06039384,C0280100,Solid Neoplasm,FDA,en,0
,KRASG12C,0,CELL,bionlp,A Phase 1 Study of INCB099280 in Combination With Adagrasib in Adults With Advanced Solid Tumors Harboring a KRASG12C Mutation,pediatric_use,NCT06039384,C3274012,KRAS NP_004976.2:p.G12C,FDA,en,0
,Antihistamine Medications,0,CHEBI,craft,Do Common Over-the-counter Antihistamine Medications Modify Thermoregulatory Responses During Passive Heat Stress?,adverse_reactions,NCT06217367,C0019590,Histamine Antagonists,FDA,en,0
,Antihistamine,0,CHEMICAL,jnlpba,Do Common Over-the-counter Antihistamine Medications Modify Thermoregulatory Responses During Passive Heat Stress?,adverse_reactions,NCT06217367,C0019590,Histamine Antagonists,FDA,en,0
,Antihistamine,0,SIMPLE_CHEMICAL,bionlp,Do Common Over-the-counter Antihistamine Medications Modify Thermoregulatory Responses During Passive Heat Stress?,adverse_reactions,NCT06217367,C0019590,Histamine Antagonists,FDA,en,0
,Food,0,CHEBI,craft,"The Effect of a Breakfast Meal Containing Oat β-glucan on Food Intake at a Subsequent Meal in Normal-weight and Overweight Subjects: A Randomized, Placebo-controlled Cross-over Study",warnings,NCT03490851,C0016452,Food,FDA,en,0
,Overweight,0,DISEASE,jnlpba,"The Effect of a Breakfast Meal Containing Oat β-glucan on Food Intake at a Subsequent Meal in Normal-weight and Overweight Subjects: A Randomized, Placebo-controlled Cross-over Study",warnings,NCT03490851,C0497406,Overweight,FDA,en,0
,Meal,0,GENE_OR_GENE_PRODUCT,bionlp,"The Effect of a Breakfast Meal Containing Oat β-glucan on Food Intake at a Subsequent Meal in Normal-weight and Overweight Subjects: A Randomized, Placebo-controlled Cross-over Study",warnings,NCT03490851,C1998602,Meal (occasion for eating),FDA,en,0
,DePuy P.F.C.® SigmaTM,0,PROTEIN,jnlpba,An Investigation of Computer-Assisted Total Knee Replacement Kinematics on Patient Performance: An Examination of the DePuy P.F.C.® SigmaTM Posterior Cruciate Substituting Knee and the DePuy P.F.C.® Sigma RP Rotating Platform Knee Systems,warnings,NCT00375856,,,FDA,en,0
,Patient,0,ORGANISM,bionlp,An Investigation of Computer-Assisted Total Knee Replacement Kinematics on Patient Performance: An Examination of the DePuy P.F.C.® SigmaTM Posterior Cruciate Substituting Knee and the DePuy P.F.C.® Sigma RP Rotating Platform Knee Systems,warnings,NCT00375856,C0030705,Patients,FDA,en,0
,Knee,0,CELL,bionlp,An Investigation of Computer-Assisted Total Knee Replacement Kinematics on Patient Performance: An Examination of the DePuy P.F.C.® SigmaTM Posterior Cruciate Substituting Knee and the DePuy P.F.C.® Sigma RP Rotating Platform Knee Systems,warnings,NCT00375856,C0022742,Knee,FDA,en,0
,Knee Systems,0,CANCER,bionlp,An Investigation of Computer-Assisted Total Knee Replacement Kinematics on Patient Performance: An Examination of the DePuy P.F.C.® SigmaTM Posterior Cruciate Substituting Knee and the DePuy P.F.C.® Sigma RP Rotating Platform Knee Systems,warnings,NCT00375856,,,FDA,en,0
,HF-SRT,0,CELL_LINE,jnlpba,Hypofractionated Stereotactic Radiotherapy (HF-SRT) for Large-Volume Brain Metastases,warnings,NCT00805103,,,FDA,en,0
,Brain Metastases,0,CANCER,bionlp,Hypofractionated Stereotactic Radiotherapy (HF-SRT) for Large-Volume Brain Metastases,warnings,NCT00805103,C0220650,Metastatic malignant neoplasm to brain,FDA,en,0
,Reslizumab,0,SIMPLE_CHEMICAL,bionlp,An Efficacy and Safety Study of Reslizumab in the Treatment of Poorly Controlled Asthma in Subjects With Eosinophilic Airway Inflammation,pediatric_use,NCT00587288,C1869620,reslizumab,FDA,en,0
,Airway,0,MULTI_TISSUE_STRUCTURE,bionlp,An Efficacy and Safety Study of Reslizumab in the Treatment of Poorly Controlled Asthma in Subjects With Eosinophilic Airway Inflammation,pediatric_use,NCT00587288,C0178987,Artificial Airways,FDA,en,0
,Obesity,0,DISEASE,jnlpba,Working With Parents to Prevent Childhood Obesity: A Primary Care-based Study,indications,NCT02330588,C0028754,Obesity,FDA,en,0
