id_trial,idphrase
NCT05243524,"Phase 2b Single Arm Study of Maveropepimut-S and Low-Dose Cyclophosphamide in Subjects With Platinum-Resistant, Epithelial Ovarian Cancer."
NCT01824303,"A Phase 2 Multicenter, Randomized, Double-Blinded, Placebo-Controlled Study Evaluating Safety, Tolerability and Efficacy of LiRIS® 400 mg in Women With Interstitial Cystitis Followed by an Open Label Extension"
NCT04031677,A Randomized Phase III Study of Neoadjuvant Chemotherapy Followed by Surgery Versus Surgery Alone for Patients With High Risk RetroPeritoneal Sarcoma (RPS)
NCT05477576,"Phase 1b/3 Global, Randomized, Controlled, Open-label Trial Comparing Treatment With RYZ101 to Standard of Care Therapy in Subjects With Inoperable, Advanced, SSTR+, Well-differentiated GEP-NETs That Have Progressed Following Prior 177Lu-SSA Therapy"
NCT05027906,"A Phase 1b, Multicenter, Open Label Study to Evaluate the Safety, Pharmacokinetics and Efficacy of AT 1501 in Patients Undergoing Kidney Transplant"
NCT02453711,Investigation of Safety and Efficacy of Once-daily Semaglutide in Obese Subjects Without Diabetes Mellitus
NCT01167712,"GOG-0262: A Phase III Trial of Every-3-Weeks Paclitaxel Versus Dose Dense Weekly Paclitaxel in Combination With Carboplatin With or Without Concurrent and Consolidation Bevacizumab (NSC #704865) in the Treatment of Primary Stage II, III or IV Epithelial Ovarian, Peritoneal or Fallopian Tube Cancer and"
NCT03682796,"Phase 1, Multicenter, Open-Label Study of the Antibody-Drug Conjugate TRPH-222 in Subjects With Relapsed and/or Refractory B-Cell Lymphoma"
NCT03984786,Internet-delivered Cognitive Behaviour Therapy for Alcohol Misuse: A Factorial Trial Examining the Effects of Assessment Interview and Guidance
NCT05968326,"A Phase II, Open-Label, Multicenter, Randomized Study of the Efficacy and Safety of Adjuvant Autogene Cevumeran Plus Atezolizumab and mFOLFIRINOX Versus mFOLFIRINOX Alone in Patients With Resected Pancreatic Ductal Adenocarcinoma"
NCT01869608,Can we Screen Type 2 Diabetes on the 2nd Day After Delivery in Women Who Had Gestational Diabetes Mellitus?
NCT01635582,Effects of Home Based Computer Gaming Hand Exercise Regimen in People With Rheumatoid Arthritis (RA) or Osteoarthritis (OA) -A Randomized Controlled Pilot Trial
NCT01231516,"A Randomized, Double-blind Study of the Safety and Efficacy of GSK1349572 50 mg Once Daily Versus Raltegravir 400 mg Twice Daily, Both Administered With an Investigator-selected Background Regimen Over 48 Weeks in HIV-1 Infected, Integrase Inhibitor-Naïve, Antiretroviral-Experienced Adults"
NCT00280423,"A 28 Day, Polysomnographic and Subjective Assessment of GW679769 for the Treatment of Primary Insomnia: A Randomized, Double-blind, Parallel-Group, Placebo-Controlled Trial."
NCT05974579,"A Single Center, Open Label Study to Evaluate Biodistribution, Pharmacokinetics and Safety of [89Zr]Zr-DFO-AP-101 PET (Positron Emission Tomography) in Healthy Volunteers and Amyotrophic Lateral Sclerosis (ALS) Patients"
NCT01871233,An Extended Access Program for Perampanel
NCT02423460,Threonine Requirement in Healthy Adult Subjects and in Patients With Crohn's Disease and With Ulcerative Colitis Using the Indicator Amino Acid Oxidation (IAAO) Methodology
NCT02115529,A Randomized Controlled Trial of Cesamet(R) (Nabilone) for the Prevention of Postoperative Nausea and Vomiting in Elective Surgery
NCT00915564,"A Phase I, Open-Label, Single-Sequence Drug-Drug Interaction Trial in Subjects On Stable Methadone Maintenance Therapy, to Investigate the Potential Pharmacokinetic Interaction Between TMC435 and Methadone, at Steady-State"
NCT05134649,"Phase 3, Multicenter Open-label Extension Study to Evaluate the Safety of BOTOX (Botulinum Toxin Type A) Purified Neurotoxin Complex for the Treatment of Platysma Prominence"
NCT01797627,Ventricular Size Involvement in Neuropsychological Outcomes in Pediatric Hydrocephalus (VINOH)
NCT02069405,Relaxation Music to Lower Heart Rate Prior to Cardiac CT
NCT04824014,"Evaluation of the Diagnostic, Prognostic and Follow-up Potential of 4,16α-[16α-18F]Difluoro-11β-methoxyestradiol (4FMFES) PET Imaging for Estrogen Receptor Positive Advanced Breast Cancers"
NCT03531697,"A Randomized, Single-blind, Cross-over Study of Loteprednol Etabonate in Adults Undergoing Bilateral Cataract Surgery"
NCT03482635,"A Phase II/III Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Safety and Efficacy of BI655130 (SPESOLIMAB) Induction Therapy in Patients With Moderate-to-severely Active Ulcerative Colitis Who Have Failed Previous Biologics Therapy"
NCT01890434,Multicenter Open-label Study to Evaluate Efficacy of Gadobutrol-enhanced Cardiac Magnetic Resonance Imaging (CMRI) for Detection of Significant Coronary Artery Disease (CAD) in Subjects With Known or Suspected CAD by a Blinded Image Analysis
NCT03377361,A Study Of Nivolumab In Combination With Trametinib With Or Without Ipilimumab In Participants With Previously Treated Metastatic Colorectal Cancers
NCT04079582,Outcomes of a Higher vs. Lower Hemodialysate Magnesium Concentration: A Pragmatic Cluster-randomized Clinical Trial in Hemodialysis Centres
NCT01674790,Exploring Potential Synergistic Effects of Aerobic Exercise and Cognitive Training on Cognition After Stroke.
NCT01111955,"A Double-blind, Placebo-Controlled, Parallel-group, Randomized, Multiple-Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamic Effects of BMS-823778 in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control on Either Diet and Exercise Alone or on a Background of Metformin"
NCT01002911,Phase III Pilot Study - A Simple Randomized Trial of Conventional Versus Multimodal Prevention of Arrhythmia Device Infection
NCT03267745,Effects of Amino Acid Formulation on Healthy Men Undergoing Unilateral Knee Immobilization
NCT00959075,A Randomized Controlled Trial of the Effect of Thiamin Supplementation on Heart Function in Ambulatory Patients With Heart Failure
NCT00741429,"A 2-Month Safety Follow-up Trial of Subjects From MannKind Protocols MKC-TI-009, MKC-TI-102, MKC-TI-103 and MKC-TI-030"
NCT03466411,"A Phase 2/3, Randomized, Double-blind, Placebo- and Active-controlled, Parallel-group, Multicenter Protocol to Evaluate the Efficacy and Safety of Guselkumab in Participants With Moderately to Severely Active Crohn's Disease"
NCT01968733,"A Randomized, Double-Blind, Multi-Center Study to Evaluate the Efficacy and Safety of Intravenous to Oral Solithromycin (CEM-101) Compared to Intravenous to Oral Moxifloxacin in the Treatment of Adult Patients With Community-Acquired Bacterial Pneumonia"
NCT01974609,"A Randomized, Controlled Trial Comparing Combination Therapy of Ibuprofen + Acetaminophen Versus Hydrocodone + Acetaminophen for the Treatment of Pain After Carpal Tunnel Surgery"
NCT02341924,"Validating the ""Foods for Health"" Portfolio of Functional Food Products: Effects on Lipid and Blood Glucose Management in Individuals Intolerant of Statin (HMG-CoA Reductase Inhibitor) Therapy"
NCT02174705,A Randomized Controlled Trial of Rotavirus Vaccine vs. Sugar Water for Vaccine Injection Pain Management in Infants
NCT03217006,Randomized Comparison of the Clinical Outcome of Single Versus Multiple Arterial Grafts: the ROMA Trial
NCT01505530,A Randomized Phase 2 Placebo-Controlled Study of LY2495655 in Patients With Advanced or Metastatic Pancreatic Cancer Receiving Chemotherapy
NCT01606007,"A Multicenter, Randomized, Double-Blind, Active Controlled, Parallel Group, Phase 3 Trial to Evaluate the Safety and Efficacy of Add-On Therapy With Saxagliptin and Dapagliflozin Added to Metformin Compared to Add-On Therapy With Saxagliptin in Combination With Metformin or Dapagliflozin in Combination With Metformin in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control on Metformin Alone."
NCT00493298,TOP: TYSABRI Observational Program
NCT04415242,IMPACT OF OPERATIVE POSITIONING ON THE DEVELOPMENT OF SHOULDER PAIN AFTER PULMONARY LOBECTOMY BY VATS
NCT00385242,PET and Recovery Following Revascularization: Outcome and Cost-effectiveness of FDG PET in Left Ventricular Dysfunction (PARR 2)
NCT01166841,The Effect of Percutaneous Superior Venae Cava Cannulation Clamping on Cerebral Near Infrared Spectroscopy During Minimally Invasive Mitral Valve Surgery
NCT05621889,Impacts of an Innovative Patient-partner-guided Virtual Group Speech Pathology Intervention Model to Prevent Swallowing Disorders in Patients Treated With Chemoradiotherapy for Head and Neck Cancer
NCT04759131,"A Phase 3 Open-label, Multicenter Study of the Safety, Efficacy, and Pharmacokinetics of Intravenous Recombinant Coagulation Factor VIII Fc-von Willebrand Factor-XTEN Fusion Protein (rFVIIIFc-VWF-XTEN; BIVV001) in Previously Treated Pediatric Patients <12 Years of Age With Severe Hemophilia A"
NCT02984007,Addressing Vaccine Hesitancy: Pan-Canadian Validation of an Effective Strategy
NCT01849497,"A Multi-center, Randomized Study in Subjects With Primary Hypercholesterolemia or Mixed Dyslipidemia to Assess Subjects' Ability to Administer a Full Dose of Evolocumab (AMG 145) in Home-use, Using Either a Prefilled Syringe or a Prefilled Autoinjector/Pen"
NCT01234311,"A Phase 3 Randomized, Double-Blind, Placebo-Controlled Study of Tasquinimod in Men With Metastatic Castrate Resistant Prostate Cancer"
NCT04176939,Long-term Immunogenicity Study of Herpes Zoster Subunit Vaccine (GSK1437173A) and Immunogenicity and Safety Assessment of Revaccination With Two Additional Doses in Adults With Renal Transplant From Study ZOSTER-041
NCT02591758,Novel Vitality Indices Derived From the Hexoskin in Patients Affected With Angina Undergoing Coronary Revascularization or Medical Therapy (NOVA-SKIN Study)
NCT01820364,"Phase II, Multi-center, Open-label Study of Single-agent LGX818 Followed by a Rational Combination With Agents After Progression on LGX818, in Adult Patients With Locally Advanced or Metastatic BRAF V600 Melanoma"
NCT04437238,"Effectiveness of an eHealth Tool for Older Adults With Multimorbidity (""KeepWell""): Protocol for a Hybrid Effectiveness-implementation, Pragmatic Randomized Controlled Trial"
NCT03156556,Improving Access to Treatment of Anxiety and Depression in Young Adults Using Transdignostic iCBT: Feasibility of a Translated Version of an Empirically Supported Program
NCT03973580,Altering High-risk Trajectories in Adolescent Anxiety Via Attention Bias Modification Training: Neural Predictors and Mechanisms (ABM Study)
NCT02478229,Early Treatment With Sofosbuvir (SOF) and Ledipasvir (LDV) to Prevent HCV Recurrence After Liver Transplantation (OLT)
NCT00388674,"Randomized, Observational Study of Entecavir to Assess Long-term Outcomes Associated With Nucleoside/Nucleotide Monotherapy for Patients With Chronic HBV Infection: The REALM Study"
NCT03540394,Long Term Outcomes of Pediatric Compartment Syndrome
NCT02506179,A Study of the Impact of Adalimumab on Patient-reported Outcomes (PROs) in Canadian Patients Suffering From Moderate-to-severe Ulcerative Colitis (UCanADA)
NCT02630693,"Randomized Phase II Study Comparing Two Different Schedules of Palbociclib Plus Second Line Endocrine Therapy in Women With Estrogen Receptor Positive, HER2 Negative Advanced/Metastatic Breast Cancer"
NCT03739684,"A Phase 3, Multi-Center, Open-Label Study to Assess the Diagnostic Performance and Clinical Impact of 18F-DCFPyL PET/CT Imaging Results in Men With Suspected Recurrence of Prostate Cancer"
NCT01886534,A Randomized Controlled Trial of Enhanced Caregiver Support Versus Usual Care for Managing Older Heart Failure Patients at Hospital Discharge
NCT05309356,IMplementing Predictive Analytics Towards Efficient COPD Treatments (IMPACT) Study
NCT03971448,Randomized Control Trial of Casting Versus Pediatric Walker-Boot in the Management of Toddler's Fractures
NCT00828659,"A Randomized, Double-Blind, Double-Dummy, Placebo- and Active-Controlled Crossover Study to Evaluate the Abuse Potential of Single Doses of Lorcaserin in Healthy Recreational Polydrug Users"
NCT03747939,"A Phase 4, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Apremilast (CC-10004) in Subjects With Early, Oligoarticular Psoriatic Arthritis Despite Initial Stable Treatment With Either NSAIDS and/or ≤ 1 Conventional Synthetic DMARD"
NCT00673842,Risk Estimation Following Infarction Noninvasive Evaluation - ICD Efficacy
NCT04152629,"A Phase IV, Real World, Open-label, Multi-centre Study on the Use of FOQUEST® (Methylphenidate Hydrochloride Controlled-release Capsules) for the Treatment of Attention-Deficit/Hyperactivity Disorder (ADHD) in Pediatric and Adult Patients"
NCT05786742,ULTRA-HYPO Fractionated (UHF) Compared to Moderate-HYPO Fractionated (MHF) Prostate IGRT With HDR Brachytherapy BOOST : A Phase 1-2 Study.
NCT00003137,"A Phase II Trial of CPT-11 in Patients With Advanced Adenocarcinoma of the Stomach or Gastroesophageal Junction Incorporating Pretreatment and Posttreatment Biopsies for Evaluation of Tumor Thymidylate Synthase, MIB-1, Topoisomerase I, and p53"
NCT01536821,PROGENI (Parkinson's Research: The Organized Genetics Initiative) Family Study
NCT04135040,Assessment of the Protein Quality of Cereal Grains in School-aged Children
NCT04275011,Bone Response to Resistance and Impact Exercise (BRRIE) in Women on Antiresorptive Medications: A Randomized Controlled Trial
NCT00529464,A Randomized Trial of Spectroscopy Versus Standard Care in Cervical Intraepithelial Neoplasia
NCT03531957,"A Randomized, Double-blind, Placebo-controlled, Phase 2B Study to Evaluate the Efficacy, Safety, Tolerability, and Pharmacokinetics of ASN002 in Subjects With Moderate to Severe Atopic Dermatitis"
NCT02045030,A Phase II Exploratory Study to Identify Biomarkers Predictive of Clinical Response to Aflibercept in Patients With Metastatic Colorectal Cancer Who Have Failed First-Line Therapy
NCT01068587,A Phase I/II Study of Foretinib in Patients With Previously Treated Non-Small Cell Lung Cancer Receiving Standard Erlotinib Therapy
NCT01036724,Comparative Study of Guided Radiofrequency Ablation Using the CARTO® 3 and NavX™ Systems for the Treatment of Paroxysmal Atrial Fibrillation
NCT04851873,"A Phase IIIb, Open-label, Single-arm, Single-dose, Multicenter Study to Evaluate the Safety, Tolerability and Efficacy of Gene Replacement Therapy With Intravenous OAV101 (AVXS-101) in Pediatric Patients With Spinal Muscular Atrophy (SMA)"
NCT03515590,Impact of Emulsion Droplet Physical State on Postprandial Lipemia and Satiety in Healthy Adults
NCT00457951,"An Open-Label Phase Followed by a Randomized, Double-Blind, Placebo-Controlled Phase in a Study Designed to Evaluate Intravenous 2-O, 3-O Desulfated Heparin (ODSH) in Subjects With Exacerbations of Chronic Obstructive Pulmonary Disease"
NCT01957722,"A Phase 3, Prospective, Randomized, Partially Blinded Multi-Center Study to Measure the Safety and Efficacy of NOVOCART 3D Compared ot Microfracture in the Treatment of Articular Cartilage Defects"
NCT03821649,(SOONER) Trial
NCT04318665,Early Diagnosis of Mortality Using Admission CT Perfusion in Severe Traumatic Brain Injury Patients (ACT-TBI Study)
NCT03246802,High Dose Rate Partial Prostate Brachytherapy as Salvage Treatment for Local Failures After Previous External Beam Radiotherapy
NCT00955071,Dose-response Effects of Exercise on Abdominal Obesity and Risk Factors for CVD in Men and Women.
NCT00552968,Pain Prevalence in the Trauma Population at Sunnybrook Hospital
NCT02903680,Randomised Controlled Trial of Intravenous Dexamethasone to Prevent Relapse in the Treatment of Migraine in a Pediatric Emergency Department
NCT02772380,Acute Extravascular Defibrillation Study
NCT01675882,"A Double-blind, Placebo-controlled, Randomized Trial to Study the Viaskin Peanut's Efficacy and Safety for Treating Peanut Allergy in Children and Adults."
NCT05126277,"A Randomized, Double-blind, Parallel Group, Placebo-controlled, Multicenter Phase 3 Trial to Evaluate Efficacy, Safety and Tolerability of Ianalumab on Top of Standard-of-care Therapy in Participants With Active Lupus Nephritis (SIRIUS-LN)."
NCT01462344,"A 6-month Safety and Benefit Study of Inhaled Fluticasone Propionate/ Salmeterol Combination Versus Inhaled Fluticasone Propionate in the Treatment of 6,200 Pediatric Subjects 4-11 Years Old With Persistent Asthma"
NCT01515189,A Randomized Double-Blind Phase III Study of Ipilimumab Administered at 3 mg/kg Versus at 10 mg /kg in Subjects With Previously Treated or Untreated Unresectable or Metastatic Melanoma
NCT00170209,A Randomized Trial to Compare Effectiveness of 4 Months Rifampin (4 RIF) With 9 Months Isoniazid (9 INH) in the Prevention of Active TB in Children: The P4v9 Trial
NCT04102020,"A Multicenter, Phase 3 Study of Venetoclax and Oral Azacitidine Versus Oral Azacitidine as Maintenance Therapy for Patients With Acute Myeloid Leukemia in First Remission After Conventional Chemotherapy (VIALE-M)"
NCT04906421,"A Phase 2B, Multi-Center, Double-Blind, Randomized, Placebo-Controlled Study of the Safety and Efficacy of TVB-2640 in Subjects With Nonalcoholic Steatohepatitis (FASCINATE-2)"
NCT01815840,"A Randomized, Double-blinded, Regimen-controlled, Phase II, Multicenter Study to Assess the Efficacy and Safety of Two Different Vismodegib Regimens in Patients With Multiple Basal Cell Carcinomas"
NCT02685176,Efficacy of Head and Torso Rewarming by Using a Human Model for Severe Hypothermia
NCT01006252,A Randomized Phase 3 Study of Tasisulam-sodium Administered as an Intravenous Infusion on Day 1 of a 28-Day Cycle Versus Paclitaxel as Second-line Treatment in Patients With Metastatic Melanoma
NCT03495102,"A Randomized, Double-Blind, Parallel Arm Study of the Efficacy and Safety of Investigational Dulaglutide Doses When Added to Metformin in Patients With Type 2 Diabetes Mellitus"
NCT03048136,A Phase Ib/II Safety Trial of Nivolumab in Combination With Ipilimumab Administered in Participants With Chemotherapy-naive Stage IV or Recurrent Non-small Cell Lung Cancer (NSCLC)
NCT02308917,The Canadian Children Inflammatory Bowel Disease Network (CIDsCaNN): A Partnership With the CH.I.L.D. Foundation: Multi-center Inception Cohort Study
NCT04356859,The Acute Burn ResUscitation Multicenter Prospective Trial (ABRUPT2)
NCT01677000,Clinical Priority Program: Bone Infection; Use of a Registry on Infection to Improve Patient Outcomes and Research Efforts
NCT04467905,"Multi-Centre, Placebo-Controlled, Phase 2 Study of Etripamil Nasal Spray (NS) for the Reduction of Ventricular Rate in Patients With Atrial Fibrillation."
NCT04955990,"An International, Non-Drug Interventional, Real-world Cohort of PAH Patients Newly Initiating PAH Therapy With Guideline-directed Assessments of Disease Severity"
NCT05326516,"AUGMENT-102: A Phase 1, Open-label, Dose-escalation Study to Evaluate Safety, Tolerability and Preliminary Anti-Leukemic Activity of SNDX-5613 in Combination With Chemotherapy in Patients With Relapsed/Refractory Leukemias Harboring Alterations in KMT2A/MLL, Nucleophosmin 1 (NPM1), and Nucleoporin 98 (NUP98) Genes"
NCT00399906,"A Phase IIa, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Clinical Efficacy, Safety, and Pharmacokinetics of Three Different Doses of BMS-582949 Given Orally to Subjects With Moderate to Severe Plaque Psoriasis"
NCT00658775,"A Randomized, Double-Blind, Parallel Study of Rabeprazole Extended-Release 50 mg Versus Esomeprazole 40 mg for Healing and Symptomatic Relief of Moderate to Severe Erosive Gastroesophageal Reflux Disease (GERD)"
NCT01387555,A Phase 2b Randomized Trial of JX-594 (Vaccinia GM-CSF / TK-deactivated Virus) Plus Best Supportive Care Versus Best Supportive Care in Patients With Advanced Hepatocellular Carcinoma Who Have Failed Sorafenib Treatment
NCT01784679,GNE-Myopathy Disease Monitoring Program (GNEM-DMP): A Registry and Prospective Observational Natural History Study to Assess GNE Myopathy or Hereditary Inclusion Body Myopathy (HIBM)
NCT00971607,Sevoflurane Sedation During Primary Percutaneous Coronary Intervention.
NCT00517699,"An Open Label Study of the Effect of Rituxan, High Dose Methotrexate and High Dose Cytarabine on Response Rate in Patients With Primary Central Nervous System Lymphoma."
NCT02014922,A Study to Determine the Relief of Dry Eye Symptoms With the Use of TheraTears® Products
NCT00003078,"A Randomized Comparison of Radiation vs Radiation Plus Weekly Cisplatin vs Radiation Plus PVI (Protracted Venous Infusion) 5-FU in Patients With Stage II-B, III-B, and IV-A Carcinoma of the Cervix With Negative Paraaortic Nodes"
NCT06117982,Does Subcutaneous Granulocyte Colony Stimulating Factor (G-CSF) Improve Ovarian Reserve in Women With Premature Ovarian Insufficiency?
NCT00314236,"A Randomized, Comparative Multicenter Clinical Trial Evaluating BST-CarGel™ and Microfracture in Repair of Focal Articular Cartilage Lesions on the Femoral Condyle"
NCT02552212,"Phase 3, Multicenter, Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Efficacy and Safety of Certolizumab Pegol in Subjects With Active Axial Spondyloarthritis (axSpA) Without X-Ray Evidence of Ankylosing Spondylitis (AS) and Objective Signs of Inflammation"
NCT04214652,"A Phase 3, Multicenter, Randomized, Double-Blind, Vehicle Controlled, Parallel-Group, Clinical Study Comparing the Efficacy and Safety of IDP-126 Gel in the Treatment of Acne Vulgaris"
NCT01201837,CHI SQUARE: Can HDL Infusions Significantly Quicken Atherosclerosis Regression?
NCT03069781,The Effects of 17β-estradiol on Skeletal Muscle Mass Following Immobilization
NCT06386536,Cycling for Improved Health: Development and Evaluation of TRIVEL's Smart Bike Training Prescription Programs
NCT05738148,Vasopressin vs. Epinephrine During Neonatal Cardiopulmonary Resuscitation - a Cluster Randomized Controlled Phase I Trial
NCT06305767,"A Phase 2, Randomized, Double-blind, Placebo- and Active-comparator Controlled Clinical Study of Adjuvant V940 (mRNA-4157) Plus Pembrolizumab Versus Adjuvant Placebo Plus Pembrolizumab in Participants With High-risk Muscle-invasive Urothelial Carcinoma Post-radical Resection"
NCT04138394,VItamin C in Thermal injuRY: The VICToRY Trial A Phase III Multi-center Randomized Trial
NCT04893382,Deciphering the Inflammatory Consequences of Crystalloids Used in the Resuscitation of Severely Burned Patients
NCT01538095,"A Phase 1 Study of AMG 386, an Angiopoietin Neutralizing Peptibody, in Children With Relapsed or Refractory Solid Tumors, Including CNS Tumors"
NCT02787629,Comparison of Simultaneous Endotracheal Tube Insertion With GlideScope Use: a Pilot Study
NCT02562573,"A Phase 2, Single-Arm, Open-Label Study to Evaluate the Safety and Tolerability of PBI-4050 in Type 2 Diabetes Patients With Metabolic Syndrome"
NCT03319836,Meeting Protein Targets in Critically Ill Patients: A Retrospective Analysis
NCT00764751,LEO 19123 Cream in the Treatment of Psoriasis Vulgaris
NCT00372879,Randomized Crossover Design Trial of Vitamin E vs Placebo for Treatment of Cramps in Amyotrophic Lateral Sclerosis.
NCT03053544,Metformin With Neoadjuvant Chemoradiation to Improve Pathologic Responses in Rectal Cancer: An Internal Pilot Study
NCT03687827,"A Randomised, Cross-over, Open-label, Multi-centre Trial Comparing the Effect of Insulin Degludec and Insulin Glargine 100U/mL, With or Without OADs in Subjects With Type 2 Diabetes Using Flash Glucose Monitoring"
NCT05588115,"RACE Study: Rapid, Accurate and Cost-effective Analysis of Glial Fibrillary Acid Protein Using a Hand-held Biosensor for Patient With Concussion in Acute Care and at Home Monitoring"
NCT01256060,Intranasal Oxytocin for the Treatment of Children and Adolescents With Autism Spectrum Disorders (ASD)
